,County,Teen Births,Teen Birth Rate,year
82,Vanderburgh,1842.0,41.09772423,2015
83,Vermillion,149.0,43.088490457,2015
84,Vigo,1261.0,42.968616894,2015
85,Wabash,301.0,33.801235261,2015
86,Warren,65.0,32.663316583,2015
87,Warrick,351.0,26.145251397,2015
88,Washington,283.0,41.617647059,2015
89,Wayne,775.0,48.136645963,2015
90,Wells,187.0,27.617781716,2015
91,White,263.0,46.93076374,2015
92,Whitley,241.0,31.388382391,2015
93,,,,2015
94,,,,2015
0,,64721.0,40.156179812,2014
1,Adams,281.0,31.152993348,2014
2,Allen,3682.0,41.808127718,2014
3,Bartholomew,929.0,52.598799683,2014
4,Benton,74.0,35.004730369,2014
5,Blackford,155.0,52.417991207,2014
6,Boone,293.0,22.015177699,2014
7,Brown,77.0,22.025171625,2014
8,Carroll,135.0,27.973477,2014
9,Cass,433.0,47.861169448,2014
10,Clark,1105.0,48.108319909,2014
11,Clay,277.0,41.523010043,2014
12,Clinton,407.0,50.527622595,2014
13,Crawford,109.0,40.37037037,2014
14,Daviess,351.0,45.697174847,2014
15,Dearborn,422.0,35.438360766,2014
16,Decatur,274.0,48.019628461,2014
17,DeKalb,455.0,44.144755991,2014
18,Delaware,1033.0,25.061258158,2014
19,Dubois,285.0,28.657616893,2014
20,Elkhart,2735.0,55.215714776,2014
21,Fayette,331.0,59.758079076,2014
22,Floyd,718.0,39.813685261,2014
23,Fountain,190.0,47.369733234,2014
24,Franklin,179.0,30.566939891,2014
25,Fulton,238.0,51.127819549,2014
26,Gibson,306.0,38.891713269,2014
27,Grant,889.0,40.680913376,2014
28,Greene,347.0,46.377973804,2014
29,Hamilton,839.0,14.435153642,2014
30,Hancock,454.0,28.598425197,2014
31,Harrison,289.0,32.900728597,2014
32,Hendricks,709.0,21.65017711,2014
33,Henry,440.0,38.810972921,2014
34,Howard,936.0,48.742384002,2014
35,Huntington,291.0,29.041916168,2014
36,Jackson,543.0,56.822938468,2014
37,Jasper,297.0,34.761235955,2014
38,Jay,240.0,44.436215516,2014
39,Jefferson,331.0,36.602897269,2014
40,Jennings,458.0,64.199607513,2014
41,Johnson,1104.0,33.77282878,2014
42,Knox,434.0,42.119565217,2014
43,Kosciusko,788.0,41.09517601,2014
44,LaGrange,273.0,26.394663057,2014
45,Lake,5288.0,43.374838001,2014
46,LaPorte,1139.0,47.69482015,2014
47,Lawrence,497.0,50.631621842,2014
48,Madison,1474.0,48.270893372,2014
49,Marion,12223.0,57.448628527,2014
50,Marshall,424.0,36.646499568,2014
51,Martin,92.0,39.518900344,2014
52,Miami,382.0,45.792375929,2014
53,Monroe,681.0,12.733494138,2014
54,Montgomery,434.0,48.281232618,2014
55,Morgan,637.0,38.26055619,2014
56,Newton,122.0,35.047400172,2014
57,Noble,542.0,46.979284043,2014
58,Ohio,43.0,32.899770467,2014
59,Orange,206.0,42.623629216,2014
60,Owen,233.0,42.697452813,2014
61,Parke,150.0,37.802419355,2014
62,Perry,202.0,51.12629714,2014
63,Pike,129.0,44.900800557,2014
64,Porter,916.0,22.416366884,2014
65,Posey,172.0,27.052532243,2014
66,Pulaski,135.0,41.045910611,2014
67,Putnam,334.0,29.8374129,2014
68,Randolph,290.0,45.755758914,2014
69,Ripley,278.0,39.154929577,2014
70,Rush,196.0,46.020192533,2014
71,St. Joseph,2972.0,40.35411688,2014
