% Children in Poverty,% LBW,AFGR,County,Graduation Rate,Teen Birth Rate,Teen Births,year
16.0,5.9451219512,,Warren,92.5,32.663316583,65.0,2015
11.1,8.2783570973,,Warrick,87.0,26.145251397,351.0,2015
24.7,7.0880361174,,Washington,87.080882353,41.617647059,283.0,2015
30.6,7.8969523489,,Wayne,83.403401361,48.136645963,775.0,2015
17.3,7.8600823045,,Wells,91.179846939,27.617781716,187.0,2015
19.3,7.7464788732,,White,88.248502994,46.93076374,263.0,2015
13.2,8.091436865,,Whitley,93.469465649,31.388382391,241.0,2015
,,,,,,,2015
,,,,,,,2015
22.1,8.3,,,86.545313361,40.156179812,64721.0,2014
33.2,6.9,,Adams,92.776785714,31.152993348,281.0,2014
23.4,8.9,,Allen,89.572143036,41.808127718,3682.0,2014
16.7,7.9,,Bartholomew,81.448506694,52.598799683,929.0,2014
17.2,5.8,,Benton,97.5,35.004730369,74.0,2014
25.0,9.3,,Blackford,92.5,52.417991207,155.0,2014
8.3,6.4,,Boone,95.826407507,22.015177699,293.0,2014
21.3,5.8,,Brown,92.5,22.025171625,77.0,2014
14.9,6.7,,Carroll,92.5,27.973477,135.0,2014
23.7,7.6,,Cass,85.461764706,47.861169448,433.0,2014
18.2,8.2,,Clark,83.333745875,48.108319909,1105.0,2014
22.9,6.2,,Clay,88.0,41.523010043,277.0,2014
21.0,7.5,,Clinton,85.55856833,50.527622595,407.0,2014
31.9,8.4,,Crawford,87.5,40.37037037,109.0,2014
24.2,7.1,,Daviess,87.912280702,45.697174847,351.0,2014
14.2,7.7,,Dearborn,90.426160338,35.438360766,422.0,2014
22.7,7.6,,Decatur,94.734726688,48.019628461,274.0,2014
17.0,6.9,,DeKalb,88.730833333,44.144755991,455.0,2014
26.5,9.5,,Delaware,89.006009615,25.061258158,1033.0,2014
10.5,7.2,,Dubois,90.900493421,28.657616893,285.0,2014
21.2,7.3,,Elkhart,85.417864924,55.215714776,2735.0,2014
25.7,8.1,,Fayette,83.0,59.758079076,331.0,2014
20.0,8.5,,Floyd,91.71767497,39.813685261,718.0,2014
18.5,6.7,,Fountain,85.918972332,47.369733234,190.0,2014
17.1,7.4,,Franklin,88.1,30.566939891,179.0,2014
23.1,7.2,,Fulton,90.296391753,51.127819549,238.0,2014
14.9,7.2,,Gibson,90.364321608,38.891713269,306.0,2014
26.6,9.5,,Grant,88.107264472,40.680913376,889.0,2014
22.0,8.2,,Greene,87.908847185,46.377973804,347.0,2014
5.6,7.1,,Hamilton,92.289043584,14.435153642,839.0,2014
9.7,7.6,,Hancock,91.254180602,28.598425197,454.0,2014
15.9,7.8,,Harrison,91.779510022,32.900728597,289.0,2014
7.2,7.3,,Hendricks,95.401119403,21.65017711,709.0,2014
22.6,7.9,,Henry,83.399521531,38.810972921,440.0,2014
26.8,7.8,,Howard,89.78897716,48.742384002,936.0,2014
16.1,8.9,,Huntington,85.0,29.041916168,291.0,2014
18.1,7.5,,Jackson,90.52689243,56.822938468,543.0,2014
14.6,6.9,,Jasper,84.485330073,34.761235955,297.0,2014
25.8,8.0,,Jay,88.0,44.436215516,240.0,2014
22.7,8.2,,Jefferson,83.723214286,36.602897269,331.0,2014
22.6,8.1,,Jennings,82.0,64.199607513,458.0,2014
13.1,6.9,,Johnson,89.868435449,33.77282878,1104.0,2014
23.0,8.7,,Knox,82.914043584,42.119565217,434.0,2014
16.4,7.0,,Kosciusko,87.790433925,41.09517601,788.0,2014
20.8,5.4,,LaGrange,83.244125326,26.394663057,273.0,2014
31.3,9.9,,Lake,83.41160221,43.374838001,5288.0,2014
26.8,9.6,,LaPorte,89.5379046,47.69482015,1139.0,2014
23.0,9.3,,Lawrence,79.236242884,50.631621842,497.0,2014
23.7,8.6,,Madison,78.582957958,48.270893372,1474.0,2014
32.3,9.4,,Marion,81.154607811,57.448628527,12223.0,2014
18.6,6.5,,Marshall,85.269485904,36.646499568,424.0,2014
18.8,7.7,,Martin,79.197761194,39.518900344,92.0,2014
24.5,8.1,,Miami,89.136597938,45.792375929,382.0,2014
20.2,7.1,,Monroe,87.841897233,12.733494138,681.0,2014
22.3,8.1,,Montgomery,92.635699374,48.281232618,434.0,2014
18.8,7.9,,Morgan,86.678114086,38.26055619,637.0,2014
17.3,6.3,,Newton,75.618811881,35.047400172,122.0,2014
21.2,7.7,,Noble,85.239814815,46.979284043,542.0,2014
18.3,6.3,,Ohio,,32.899770467,43.0,2014
25.8,8.3,,Orange,90.178571429,42.623629216,206.0,2014
26.4,7.4,,Owen,82.5,42.697452813,233.0,2014
28.7,7.0,,Parke,88.896713615,37.802419355,150.0,2014
19.3,9.7,,Perry,88.603896104,51.12629714,202.0,2014
15.8,9.7,,Pike,97.5,44.900800557,129.0,2014
13.2,7.0,,Porter,90.303126416,22.416366884,916.0,2014
13.9,7.0,,Posey,87.295795796,27.052532243,172.0,2014
20.8,6.8,,Pulaski,90.443037975,41.045910611,135.0,2014
17.0,7.2,,Putnam,85.32208589,29.8374129,334.0,2014
27.3,8.8,,Randolph,86.115384615,45.755758914,290.0,2014
17.0,7.0,,Ripley,82.951263538,39.154929577,278.0,2014
20.6,8.8,,Rush,97.5,46.020192533,196.0,2014
24.0,8.4,,St. Joseph,82.849312715,40.35411688,2972.0,2014
28.2,9.1,,Scott,72.46257485,63.226744186,348.0,2014
19.2,7.2,,Shelby,91.059336824,45.441190873,464.0,2014
13.2,7.8,,Spencer,89.702797203,32.062561095,164.0,2014
25.9,7.5,,Starke,82.949346405,49.849447976,298.0,2014
20.5,7.6,,Steuben,88.571428571,40.143128704,359.0,2014
23.6,7.8,,Sullivan,87.5,49.76141786,219.0,2014
33.4,6.3,,Switzerland,82.5,37.958667229,90.0,2014
20.3,7.0,,Tippecanoe,83.021937843,25.230427142,1407.0,2014
14.5,8.3,,Tipton,95.77014218,34.933333333,131.0,2014
21.8,5.4,,Union,82.5,43.213296399,78.0,2014
21.0,9.2,,Vanderburgh,81.584494774,41.840634458,1894.0,2014
21.3,8.5,,Vermillion,89.116161616,43.826983672,153.0,2014
29.0,8.0,,Vigo,88.0,42.447237373,1253.0,2014
18.8,8.4,,Wabash,89.142857143,34.714569099,315.0,2014
14.5,6.0,,Warren,92.5,33.847685416,68.0,2014
13.9,8.2,,Warrick,91.0,26.478705154,355.0,2014
26.7,7.0,,Washington,89.413043478,42.701525054,294.0,2014
33.0,8.2,,Wayne,83.15738342,50.10007885,826.0,2014
16.9,7.8,,Wells,93.017412935,26.113448426,180.0,2014
17.7,7.0,,White,84.002659574,45.954918749,263.0,2014
13.7,8.2,,Whitley,94.306615776,30.771245253,235.0,2014
,,,,,,,2014
,,,,,,,2014
22.6,8.3,85.662681116,,,41.255272679,66282.0,2013
28.3,7.0,91.836734694,Adams,,31.21577218,285.0,2013
24.9,9.0,89.58958959,Allen,,43.755144974,3827.0,2013
19.5,7.8,80.947476828,Bartholomew,,53.627579898,938.0,2013
17.8,5.9,95.394736842,Benton,,36.465638149,78.0,2013
24.5,9.1,91.044776119,Blackford,,50.910316925,151.0,2013
9.3,6.7,95.844504021,Boone,,23.404912714,303.0,2013
21.8,6.3,94.252873563,Brown,,21.813031161,77.0,2013
17.3,7.0,93.150684932,Carroll,,28.051078082,134.0,2013
22.0,7.7,84.509803922,Cass,,47.906823426,436.0,2013
18.5,8.2,85.459183673,Clark,,48.609271523,1101.0,2013
21.4,6.2,88.307692308,Clay,,42.824943651,285.0,2013
24.4,7.6,85.68329718,Clinton,,53.33821555,437.0,2013
29.8,9.5,87.068965517,Crawford,,43.175997073,118.0,2013
23.0,7.5,88.421052632,Daviess,,46.811839875,359.0,2013
13.8,7.6,90.99859353,Dearborn,,35.948526359,433.0,2013
21.5,7.5,93.870967742,Decatur,,48.304031256,272.0,2013
18.3,6.4,88.5,DeKalb,,45.720413336,469.0,2013
26.1,9.3,89.685737309,Delaware,,25.39242844,1045.0,2013
10.4,7.3,90.460526316,Dubois,,31.196365472,309.0,2013
27.4,7.2,85.47754034,Elkhart,,57.604105631,2851.0,2013
30.7,8.1,83.056478405,Fayette,,61.004138924,339.0,2013
18.3,8.6,92.170818505,Floyd,,39.552404166,714.0,2013
18.2,6.2,85.770750988,Fountain,,48.900963201,198.0,2013
16.1,7.9,87.733333333,Franklin,,31.047424087,182.0,2013
23.2,7.4,88.659793814,Fulton,,52.237208307,244.0,2013
